"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","fold","hidden_size","learning_rate","accuracy","f1_macro","f1_weighted","loss","precision_macro","precision_weighted","recall_macro","recall_weighted","roc_auc_ovo","roc_auc_ovr"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(80)_fold(5)","finished","-","","","2025-06-04T17:04:08.000Z","66","","512","80","5","98","0.00001","0.4084602829162133","0.26342837097311844","0.44246036255968335","1.5150108337402344","0.2889274707828152","0.5938075422070747","0.4546000201210732","0.4084602829162133","0.821282062620295","0.7846618883376614"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(80)_fold(4)","finished","-","","","2025-06-04T17:03:01.000Z","66","","512","80","4","98","0.00001","0.4099564744287269","0.27205006741357746","0.4452927807209036","1.4446954809386154","0.29463417166793493","0.6026122397065841","0.4934526841734834","0.4099564744287269","0.8386595952849503","0.8000086971538835"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(80)_fold(3)","finished","-","","","2025-06-04T17:01:52.000Z","68","","512","80","3","98","0.00001","0.40897653859231553","0.26867168245828466","0.44308741957961306","1.4614325186301922","0.2783688109560417","0.5898955598873933","0.48845204808080134","0.40897653859231553","0.8372187458405659","0.7996216229615427"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(80)_fold(2)","finished","-","","","2025-06-04T17:00:40.000Z","71","","512","80","2","98","0.00001","0.4055763345800748","0.2669215697811185","0.4398119656761521","1.4744602030721203","0.28054007967485756","0.597272652691561","0.48647075119327","0.4055763345800748","0.8337651676525458","0.7929360143197879"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(80)_fold(1)","finished","-","","","2025-06-04T16:59:33.000Z","65","","512","80","1","98","0.00001","0.4272016320979259","0.2703564221398061","0.4555217174266974","1.480836535322255","0.2796924132689893","0.5867608501374655","0.473915931034541","0.4272016320979259","0.8308882108144278","0.791128457488846"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(50)_fold(5)","finished","-","","","2025-06-04T16:58:48.000Z","40","","512","50","5","98","0.00001","0.38282100108813927","0.2503639752526008","0.4205530761171618","1.5750447593886276","0.273596851669215","0.5835713070014948","0.4446197617074977","0.38282100108813927","0.8097887057560916","0.7780456025475753"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(50)_fold(4)","finished","-","","","2025-06-04T16:58:02.000Z","44","","512","50","4","98","0.00001","0.42036180631120784","0.26968643832757155","0.4542786191909674","1.556932991948621","0.28685521038552025","0.5979401925272069","0.47120203113025105","0.42036180631120784","0.8209722765008404","0.787428637657955"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(50)_fold(3)","finished","-","","","2025-06-04T16:57:19.000Z","42","","512","50","3","98","0.00001","0.3820469228153689","0.24704032648782237","0.41767844189728826","1.5610102579511445","0.27462420668206083","0.5957042477025428","0.4711764659866152","0.3820469228153689","0.8264543196513306","0.7903188400239878"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(50)_fold(2)","finished","-","","","2025-06-04T16:56:34.000Z","44","","512","50","2","98","0.00001","0.3713022781366882","0.24456185893851057","0.4141619771533935","1.569275921788709","0.28532450710854784","0.5912596061358101","0.45806469036085384","0.3713022781366882","0.8165553120038711","0.7802891788701689"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(50)_fold(1)","finished","-","","","2025-06-04T16:55:50.000Z","43","","512","50","1","98","0.00001","0.3790547432845971","0.24275992632942123","0.4143185183517075","1.575351912399818","0.26244227584730884","0.5797596214500713","0.45658487686976607","0.3790547432845971","0.8175732957493425","0.7837078224599424"
