"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1_macro","avg_f1_weighted","avg_loss","avg_precision_macro","avg_precision_weighted","avg_recall_macro","avg_recall_weighted","avg_roc_auc_ovo","avg_roc_auc_ovr"
"AVG_bs(256)_lr(0.001)_hs(98)_e(100)","finished","-","","","2025-05-29T00:54:57.000Z","2","","256","100","98","0.001","0.5694136451777967","0.4131798457813262","0.5831225814743536","1.8023806814489696","0.3948980947808873","0.6819711859142904","0.5770690195116824","0.5694136451777967","0.8133200293525118","0.7880405912972716"
"AVG_bs(256)_lr(0.001)_hs(98)_e(80)","finished","-","","","2025-05-28T09:49:30.000Z","3","","256","80","98","0.001","0.5560569399125862","0.4067727363210536","0.5775525404566736","1.8132993176065644","0.3853218280640304","0.6753258051139236","0.5649617082780091","0.5560569399125862","0.8067819200121944","0.7849843565000898"
"AVG_bs(512)_lr(0.01)_hs(98)_e(100)","finished","-","","","2025-05-29T01:57:20.000Z","3","","512","100","98","0.01","0.5569147255472977","0.3888079348442798","0.5741997027084077","1.802699010947655","0.3728356157549203","0.6745335801409451","0.5730832422379744","0.5569147255472977","0.8092862899829546","0.7811347073738273"
"AVG_bs(64)_lr(0.001)_hs(98)_e(80)","finished","-","","","2025-05-28T03:12:16.000Z","2","","64","80","98","0.001","0.5569689465916378","0.3987197960797147","0.5710195986064782","1.8248970906630808","0.3775434451753525","0.669836009167796","0.5660456155902743","0.5569689465916378","0.8127888926678759","0.7827575309838256"
"AVG_bs(256)_lr(0.001)_hs(98)_e(50)","finished","-","","","2025-05-28T09:43:22.000Z","3","","256","50","98","0.001","0.5620825407848736","0.3973079940242359","0.5698308505242377","1.82805805658472","0.3870288179867633","0.6696881475721991","0.550390811987397","0.5620825407848736","0.800316443155802","0.7774218543209052"
"AVG_bs(256)_lr(0.001)_hs(49)_e(50)","finished","-","","","2025-05-28T09:30:41.000Z","3","","256","50","49","0.001","0.5615523883010782","0.3893548463412296","0.5698160035051666","1.82561962686736","0.3691349101951568","0.6564637024994145","0.5548088333215222","0.5615523883010782","0.8006107423981526","0.780406262079958"
"AVG_bs(128)_lr(0.001)_hs(98)_e(80)","finished","-","","","2025-05-28T07:00:37.000Z","3","","128","80","98","0.001","0.5493933013021042","0.3980807738080262","0.5669125716227834","1.8197536300576256","0.3834867333221904","0.6773947356040019","0.5621184507785998","0.5493933013021042","0.8111468820599906","0.7803562015758168"
"AVG_bs(128)_lr(0.001)_hs(98)_e(100)","finished","-","","","2025-05-28T23:10:56.000Z","2","","128","100","98","0.001","0.5510790218142143","0.4041937878977032","0.5657792633245311","1.8107584694157477","0.3827332716311777","0.6719545883972848","0.572174692147366","0.5510790218142143","0.8169922432485496","0.7889583721160165"
"AVG_bs(128)_lr(0.001)_hs(49)_e(100)","finished","-","","","2025-05-28T23:00:54.000Z","2","","128","100","49","0.001","0.5526706771067852","0.3938800702078538","0.5655814612199872","1.820824507423069","0.376647336886998","0.6705057892174802","0.5620950682303671","0.5526706771067852","0.8114280217954992","0.7793259121453054"
"AVG_bs(128)_lr(0.001)_hs(49)_e(80)","finished","-","","","2025-05-28T06:45:04.000Z","3","","128","80","49","0.001","0.5528748909918273","0.38832754467187675","0.565402528392043","1.831536113490229","0.37508734154372986","0.6642729130191232","0.5486260218242206","0.5528748909918273","0.8037235913839197","0.7768401953885024"
"AVG_bs(64)_lr(0.001)_hs(49)_e(50)","finished","-","","","2025-05-28T02:37:34.000Z","3","","64","50","49","0.001","0.5521537304751887","0.38257671912515606","0.5618128611201796","1.8382545766623124","0.3667403785520946","0.6589861146484216","0.5507329850602682","0.5521537304751887","0.803414408596284","0.7731860538162134"
"AVG_bs(64)_lr(0.001)_hs(98)_e(100)","finished","-","","","2025-05-28T20:40:19.000Z","2","","64","100","98","0.001","0.5426460311775398","0.39605963113890047","0.5606676510645507","1.823119020358376","0.3741704693404069","0.6704427419597979","0.5633090931283976","0.5426460311775398","0.818843086447612","0.7874954676718671"
"AVG_bs(128)_lr(0.001)_hs(98)_e(50)","finished","-","","","2025-05-28T06:53:03.000Z","2","","128","50","98","0.001","0.545720785902214","0.3891710829397713","0.5588654634013961","1.827902636528015","0.3770398930410413","0.6708110704778629","0.5540241778220297","0.545720785902214","0.8032882617147198","0.7767967936026177"
"AVG_bs(32)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-27T20:31:38.000Z","3","","32","30","98","0.001","0.547746419518577","0.3745804584812623","0.5587616892795838","1.8542635746105856","0.35967280259265755","0.6532191412700653","0.5392952755575583","0.547746419518577","0.7991271026947613","0.7686615453717076"
"AVG_bs(256)_lr(0.001)_hs(49)_e(80)","finished","-","","","2025-05-28T09:36:37.000Z","3","","256","80","49","0.001","0.5353293452775828","0.39021958243244353","0.5587016890441536","1.8160253812526832","0.37817653290799375","0.6756576449629532","0.5650141555128595","0.5353293452775828","0.8093918847172127","0.7823392621305895"
"AVG_bs(256)_lr(0.001)_hs(49)_e(100)","finished","-","","","2025-05-29T00:47:19.000Z","2","","256","100","49","0.001","0.5333439618999556","0.39253083357739943","0.5585725017926093","1.8178847473243187","0.37382349212740895","0.6722536577436851","0.559732433878031","0.5333439618999556","0.8079460511636286","0.7788968948241427"
"AVG_bs(512)_lr(0.001)_hs(49)_e(80)","finished","-","","","2025-05-28T11:58:49.000Z","2","","512","80","49","0.001","0.5429050035167506","0.3876083917325991","0.5583216093805995","1.8170884222819883","0.367676653685966","0.6588424357969328","0.5607253658580797","0.5429050035167506","0.8098569205099728","0.7811814984326179"
"AVG_bs(32)_lr(0.001)_hs(98)_e(80)","finished","-","","","2025-05-27T21:04:07.000Z","3","","32","80","98","0.001","0.5404703020483732","0.38592483592998394","0.5572533474731132","1.8413053874865823","0.36390410919617056","0.6591743368113642","0.5536591289017697","0.5404703020483732","0.8138103564126169","0.7835789330426323"
